Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2015-01-01,13:00,8279.70,8248.75,True,False,True,False,8269.40,8287.45
2015-01-02,13:00,8399.30,8293.25,True,False,True,False,8392.90,8406.45
2015-01-05,13:00,8445.60,8389.85,False,True,False,True,8407.10,8377.15
2015-01-06,13:00,8327.85,8192.85,False,True,False,True,8202.85,8123.10
2015-01-07,13:00,8151.20,8065.45,False,False,False,False,8110.85,8115.30
2015-01-08,13:00,8209.85,8167.30,True,False,True,False,8200.10,8233.70
2015-01-09,13:00,8303.30,8190.80,False,False,False,False,8259.10,8279.70
2015-01-12,13:00,8297.65,8245.60,True,False,True,False,8268.50,8328.45
2015-01-13,13:00,8356.30,8321.20,True,True,True,True,8332.80,8307.50
2015-01-14,13:00,8326.45,8236.65,False,False,False,False,8250.95,8288.35
2015-01-15,13:00,8483.65,8380.55,True,False,True,False,8477.70,8467.20
2015-01-16,13:00,8515.25,8452.25,True,False,True,False,8512.35,8514.85
2015-01-19,13:00,8570.95,8531.50,False,False,False,False,8548.35,8550.35
2015-01-20,13:00,8629.85,8574.50,True,False,True,False,8616.60,8693.85
2015-01-21,13:00,8741.85,8689.60,False,False,False,False,8713.25,8732.70
2015-01-22,13:00,8772.70,8734.90,True,True,True,True,8747.95,8762.20
2015-01-23,13:00,8866.40,8795.40,False,False,False,False,8814.90,8829.15
2015-01-27,13:00,8878.20,8825.45,True,False,True,False,8835.65,8908.00
2015-01-28,13:00,8985.05,8889.10,False,True,False,True,8929.15,8907.95
2015-01-29,13:00,8907.85,8861.25,True,False,True,False,8884.25,8950.10
2015-01-30,13:00,8996.55,8820.00,False,True,False,True,8843.50,8821.90
2015-02-02,13:00,8808.10,8751.10,True,False,True,False,8759.90,8801.35
2015-02-03,13:00,8837.30,8728.65,False,True,False,True,8743.85,8745.65
2015-02-04,13:00,8792.85,8716.40,False,True,False,True,8759.60,8708.00
2015-02-05,13:00,8768.30,8705.05,True,True,True,True,8760.10,8695.80
2015-02-06,13:00,8726.20,8661.65,False,True,False,True,8711.90,8668.10
2015-02-09,13:00,8605.55,8547.30,False,True,False,True,8587.65,8519.80
2015-02-10,13:00,8646.25,8470.50,False,False,False,False,8582.55,8571.95
2015-02-11,13:00,8631.20,8593.65,True,False,True,False,8616.10,8634.00
2015-02-12,13:00,8681.40,8599.25,True,False,True,False,8607.30,8725.30
2015-02-13,13:00,8785.55,8729.65,True,False,True,False,8778.45,8801.40
2015-02-16,13:00,8870.10,8815.25,False,True,False,True,8829.50,8806.65
2015-02-18,13:00,8862.20,8808.90,True,False,True,False,8849.05,8863.10
2015-02-19,13:00,8902.90,8809.60,True,True,True,True,8841.80,8896.65
2015-02-20,13:00,8899.95,8816.30,False,False,False,False,8862.20,8828.90
2015-02-23,13:00,8869.00,8831.95,False,True,False,True,8843.30,8740.15
2015-02-24,13:00,8777.40,8736.90,True,True,True,True,8751.85,8759.80
2015-02-25,13:00,8840.65,8798.00,False,True,False,True,8825.95,8768.80
2015-02-26,13:00,8786.05,8706.65,False,True,False,True,8707.50,8682.40
2015-02-27,13:00,8781.80,8717.45,True,False,True,False,8776.75,8845.55
2015-02-28,13:00,8941.10,8807.20,False,True,False,True,8859.80,8925.20
2015-03-02,13:00,8972.35,8885.45,False,False,False,False,8920.45,8961.65
2015-03-03,13:00,8984.95,8925.55,True,False,True,False,8974.40,8998.30
2015-03-04,13:00,9119.20,9020.80,False,True,False,True,9053.95,8916.60
2015-03-05,13:00,8949.05,8863.30,True,True,True,True,8875.60,8937.40
2015-03-09,13:00,8891.30,8800.90,False,True,False,True,8819.90,8743.40
2015-03-10,13:00,8778.00,8724.10,False,True,False,True,8760.30,8721.75
2015-03-11,13:00,8747.05,8686.35,True,True,True,True,8720.35,8702.10
2015-03-12,13:00,8773.60,8732.90,True,False,True,False,8759.45,8774.00
2015-03-13,13:00,8849.75,8671.00,False,True,False,True,8696.00,8662.55
2015-03-16,13:00,8663.55,8612.00,False,False,False,False,8628.40,8639.60
2015-03-17,13:00,8738.45,8652.55,True,True,True,True,8656.90,8721.85
2015-03-18,13:00,8747.25,8681.35,False,True,False,True,8713.10,8677.75
2015-03-19,13:00,8788.20,8723.80,False,True,False,True,8728.20,8622.15
2015-03-20,13:00,8626.85,8575.15,False,True,False,True,8586.65,8587.05
2015-03-23,13:00,8608.35,8559.70,False,True,False,True,8575.40,8550.10
2015-03-24,13:00,8602.95,8536.45,True,True,True,True,8581.95,8552.20
2015-03-25,13:00,8573.75,8530.80,False,True,False,True,8541.35,8519.35
2015-03-26,13:00,8499.45,8434.65,False,True,False,True,8441.90,8372.75
2015-03-27,13:00,8413.20,8269.15,False,False,False,False,8291.70,8345.00
2015-03-30,13:00,8432.65,8380.75,True,False,True,False,8423.10,8502.10
2015-03-31,13:00,8535.10,8499.85,True,True,True,True,8525.75,8486.00
2015-04-01,13:00,8518.40,8464.75,True,False,True,False,8513.90,8591.65
2015-04-06,13:00,8619.15,8573.75,True,False,True,False,8591.60,8653.65
2015-04-07,13:00,8693.60,8586.85,False,False,False,False,8609.45,8679.85
2015-04-08,13:00,8730.50,8679.80,False,False,False,False,8706.55,8717.35
2015-04-09,13:00,8759.90,8682.45,True,False,True,False,8743.90,8777.20
2015-04-10,13:00,8781.40,8739.70,True,True,True,True,8756.00,8769.35
2015-04-13,13:00,8827.00,8762.10,True,False,True,False,8813.85,8828.35
2015-04-15,13:00,8844.80,8795.05,False,True,False,True,8815.80,8732.55
2015-04-16,13:00,8760.00,8660.00,False,True,False,True,8668.30,8700.55
2015-04-17,13:00,8699.85,8638.25,False,True,False,True,8653.10,8602.55
2015-04-20,13:00,8619.95,8529.15,False,True,False,True,8551.65,8443.15
2015-04-21,13:00,8469.35,8382.65,False,True,False,True,8454.05,8394.55
2015-04-22,13:00,8423.20,8362.20,True,True,True,True,8365.40,8433.30
2015-04-23,13:00,8504.95,8382.90,False,True,False,True,8389.50,8387.05
2015-04-24,13:00,8413.30,8319.45,False,True,False,True,8360.70,8322.15
2015-04-27,13:00,8334.45,8221.05,False,True,False,True,8246.55,8207.15
2015-04-28,13:00,8264.25,8185.15,True,False,True,False,8218.20,8264.05
2015-04-29,13:00,8293.05,8219.20,True,False,True,False,8286.95,8234.30
2015-04-30,13:00,8229.40,8147.45,False,True,False,True,8164.45,8203.65
2015-05-04,13:00,8297.75,8220.45,True,False,True,False,8281.70,8344.40
2015-05-05,13:00,8355.65,8299.20,False,True,False,True,8322.85,8323.65
2015-05-06,13:00,8331.95,8100.55,False,True,False,True,8122.60,8092.60
2015-05-07,13:00,8122.60,8028.25,False,True,False,True,8064.50,8046.95
2015-05-08,13:00,8205.10,8123.45,True,False,True,False,8203.50,8189.90
2015-05-11,13:00,8322.35,8224.65,True,False,True,False,8311.05,8322.40
2015-05-12,13:00,8326.65,8137.60,False,True,False,True,8150.40,8127.00
2015-05-13,13:00,8254.95,8089.80,False,False,False,False,8139.10,8237.40
2015-05-14,13:00,8232.80,8137.30,True,False,True,False,8172.40,8221.25
2015-05-15,13:00,8279.20,8212.20,False,False,False,False,8250.60,8257.15
2015-05-18,13:00,8322.35,8271.95,True,False,True,False,8305.55,8377.55
2015-05-19,13:00,8411.60,8335.20,True,True,True,True,8405.50,8358.15
2015-05-20,13:00,8440.35,8391.45,False,False,False,False,8421.00,8415.30
2015-05-21,13:00,8446.35,8382.50,False,False,False,False,8404.30,8418.60
2015-05-22,13:00,8480.35,8420.60,True,False,True,False,8470.65,8446.30
2015-05-25,13:00,8441.95,8388.15,False,True,False,True,8396.50,8371.90
2015-05-26,13:00,8378.90,8337.50,False,True,False,True,8353.95,8350.85
2015-05-27,13:00,8334.85,8277.95,True,False,True,False,8323.35,8337.70
2015-05-28,13:00,8364.50,8270.15,False,False,False,False,8273.75,8321.85
2015-05-29,13:00,8420.75,8305.70,True,False,True,False,8418.30,8436.05
2015-06-01,13:00,8467.15,8405.40,False,False,False,False,8457.25,8425.15
2015-06-02,13:00,8445.35,8296.60,False,True,False,True,8318.75,8227.10
2015-06-03,13:00,8236.70,8094.15,False,False,False,False,8127.30,8151.20
2015-06-04,13:00,8160.05,8100.90,False,True,False,True,8107.95,8135.80
2015-06-05,13:00,8181.95,8100.15,True,False,True,False,8168.35,8111.85
2015-06-08,13:00,8131.00,8047.10,False,True,False,True,8058.05,8035.40
2015-06-09,13:00,8057.15,8007.55,False,True,False,True,8043.10,8014.75
2015-06-10,13:00,8111.10,8023.80,True,False,True,False,8102.35,8120.75
2015-06-11,13:00,8163.05,8009.00,False,True,False,True,8029.35,7963.30
2015-06-12,13:00,7995.60,7940.85,False,True,False,True,7977.05,7989.15
2015-06-15,13:00,8034.60,7944.85,True,False,True,False,8000.85,8005.00
2015-06-16,13:00,8010.50,7968.65,True,True,True,True,7976.00,8061.65
2015-06-17,13:00,8092.55,8048.95,True,False,True,False,8087.80,8089.25
2015-06-18,13:00,8167.75,8101.80,True,False,True,False,8163.40,8170.80
2015-06-19,13:00,8235.50,8195.65,True,False,True,False,8210.25,8235.70
2015-06-22,13:00,8337.80,8257.40,True,False,True,False,8336.50,8351.00
2015-06-23,13:00,8398.45,8334.95,False,False,False,False,8382.00,8381.20
2015-06-24,13:00,8414.30,8376.10,True,True,True,True,8410.95,8341.35
2015-06-25,13:00,8380.60,8329.50,True,False,False,False,8377.10,8414.00
2015-06-26,13:00,8408.55,8339.70,False,False,False,False,8368.80,8382.15
2015-06-29,13:00,8248.05,8195.65,True,False,True,False,8237.25,8326.20
2015-06-30,13:00,8356.45,8298.95,True,False,True,False,8315.80,8372.10
2015-07-01,13:00,8447.60,8370.15,True,False,True,False,8445.70,8460.05
2015-07-02,13:00,8479.25,8437.20,False,True,False,True,8468.50,8439.90
2015-07-03,13:00,8497.75,8424.15,False,False,False,False,8475.75,8491.70
2015-07-06,13:00,8461.85,8391.80,True,False,True,False,8456.80,8523.35
2015-07-07,13:00,8561.35,8523.45,False,True,False,True,8542.05,8516.95
2015-07-08,13:00,8457.50,8341.40,False,False,False,False,8360.30,8352.95
2015-07-09,13:00,8400.30,8343.55,False,True,False,True,8352.70,8331.70
2015-07-10,13:00,8376.35,8315.40,True,False,True,False,8338.60,8356.85
