Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2016-01-01,13:00,7951.85,7909.80,True,False,True,False,7936.45,7958.70
2016-01-04,13:00,7937.55,7813.55,False,True,False,True,7825.15,7790.40
2016-01-05,13:00,7831.20,7763.25,False,False,False,False,7807.45,7781.55
2016-01-06,13:00,7797.25,7759.20,True,True,True,True,7779.05,7731.80
2016-01-07,13:00,7674.95,7580.80,False,True,False,True,7597.55,7568.65
2016-01-08,13:00,7634.10,7581.05,False,False,False,False,7612.20,7605.70
2016-01-11,13:00,7566.40,7494.35,True,False,True,False,7538.65,7567.45
2016-01-12,13:00,7588.30,7497.55,False,True,False,True,7511.55,7513.30
2016-01-13,13:00,7585.95,7430.30,True,True,True,True,7434.70,7555.85
2016-01-14,13:00,7570.95,7443.80,True,False,True,False,7567.50,7540.65
2016-01-15,13:00,7566.50,7502.80,False,True,False,True,7517.25,7431.95
2016-01-18,13:00,7463.65,7383.35,False,True,False,True,7406.60,7348.45
2016-01-19,13:00,7440.35,7364.15,True,False,True,False,7433.60,7437.40
2016-01-20,13:00,7470.90,7287.15,False,True,False,True,7298.15,7315.70
2016-01-21,13:00,7398.70,7260.75,False,True,False,True,7265.95,7281.00
2016-01-22,13:00,7421.40,7327.60,True,False,True,False,7407.25,7424.40
2016-01-25,13:00,7487.15,7447.85,False,True,False,True,7454.05,7435.30
2016-01-27,13:00,7477.90,7419.70,False,False,False,False,7468.40,7433.30
2016-01-28,13:00,7447.35,7409.60,True,False,True,False,7436.50,7423.45
2016-01-29,13:00,7523.35,7402.80,True,False,True,False,7512.90,7560.65
2016-02-01,13:00,7600.45,7556.15,False,True,False,True,7575.55,7550.80
2016-02-02,13:00,7576.30,7508.90,False,True,False,True,7556.00,7445.30
2016-02-03,13:00,7406.10,7362.65,True,True,True,True,7396.80,7361.65
2016-02-04,13:00,7457.05,7382.55,False,True,False,True,7448.05,7414.25
2016-02-05,13:00,7485.00,7406.65,True,False,True,False,7463.70,7499.55
2016-02-08,13:00,7510.95,7463.95,True,True,True,True,7498.50,7365.00
2016-02-09,13:00,7319.70,7275.15,True,False,True,False,7286.70,7301.65
2016-02-10,13:00,7271.85,7213.50,False,True,False,True,7239.55,7222.50
2016-02-11,13:00,7208.65,7124.90,False,True,False,True,7133.50,6974.65
2016-02-12,13:00,7026.75,6869.00,True,False,True,False,6932.85,6967.00
2016-02-15,13:00,7167.45,7056.80,True,False,True,False,7155.40,7154.50
2016-02-16,13:00,7204.65,7100.70,False,True,False,True,7117.65,7044.70
2016-02-17,13:00,7059.75,6960.65,True,False,True,False,7015.90,7119.40
2016-02-18,13:00,7215.10,7144.85,False,True,False,True,7156.85,7180.50
2016-02-19,13:00,7202.20,7145.95,True,False,True,False,7167.95,7203.70
2016-02-22,13:00,7243.05,7200.70,True,False,True,False,7223.85,7235.75
2016-02-23,13:00,7241.70,7122.80,False,True,False,True,7126.10,7103.10
2016-02-24,13:00,7084.65,7031.00,True,True,True,True,7079.85,7021.45
2016-02-25,13:00,7034.20,6979.00,False,True,False,True,6990.85,6979.50
2016-02-26,13:00,7052.90,6985.10,False,False,False,False,7025.05,7037.50
2016-02-29,13:00,7068.30,6825.80,True,False,True,False,7005.80,6993.75
2016-03-01,13:00,7177.65,7035.10,True,False,True,False,7175.40,7228.70
2016-03-02,13:00,7372.45,7308.15,True,False,True,False,7367.45,7375.15
2016-03-03,13:00,7454.45,7406.05,True,False,True,False,7451.10,7475.50
2016-03-04,13:00,7505.90,7444.10,False,False,False,False,7480.90,7498.55
2016-03-08,13:00,7527.15,7482.65,False,True,False,True,7493.65,7486.25
2016-03-09,13:00,7487.85,7424.30,True,False,True,False,7470.80,7534.70
2016-03-10,13:00,7547.10,7447.40,False,False,False,False,7453.30,7486.05
2016-03-11,13:00,7543.95,7460.60,False,False,False,False,7518.45,7515.25
2016-03-14,13:00,7583.70,7524.35,False,True,False,True,7536.55,7531.75
2016-03-15,13:00,7545.20,7477.25,False,True,False,True,7477.65,7463.60
2016-03-16,13:00,7470.40,7405.15,True,False,True,False,7412.95,7503.85
2016-03-17,13:00,7585.30,7541.95,False,True,False,True,7562.25,7488.00
2016-03-18,13:00,7566.75,7517.90,True,False,True,False,7550.95,7603.20
2016-03-21,13:00,7662.55,7617.70,True,False,True,False,7639.75,7703.25
2016-03-22,13:00,7711.10,7669.15,True,True,True,True,7675.20,7716.00
2016-03-23,13:00,7718.25,7670.60,True,False,True,False,7675.50,7707.70
2016-03-28,13:00,7749.40,7668.40,False,True,False,True,7677.75,7631.55
2016-03-29,13:00,7645.80,7582.25,True,False,True,False,7622.20,7590.70
2016-03-30,13:00,7699.45,7643.45,True,False,True,False,7695.65,7735.45
2016-03-31,13:00,7777.60,7725.50,False,True,False,True,7753.20,7752.55
2016-04-01,13:00,7740.15,7675.45,False,True,False,True,7683.45,7716.10
2016-04-04,13:00,7757.60,7704.40,True,False,True,False,7724.55,7760.25
2016-04-05,13:00,7733.55,7633.60,False,True,False,True,7635.60,7591.25
2016-04-06,13:00,7638.65,7594.20,False,True,False,True,7619.20,7620.85
2016-04-07,13:00,7630.75,7542.15,False,True,False,True,7586.55,7545.80
2016-04-08,13:00,7569.35,7526.70,False,False,False,False,7561.15,7558.15
2016-04-11,13:00,7580.80,7523.20,True,True,True,True,7532.75,7670.30
2016-04-12,13:00,7717.00,7663.35,True,False,True,False,7709.70,7709.30
2016-04-13,13:00,7842.95,7772.20,True,False,True,False,7837.55,7846.00
