Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2017-01-02,13:00,8212.00,8133.80,False,False,False,False,8155.15,8176.50
2017-01-03,13:00,8214.75,8148.60,True,False,True,False,8206.40,8193.85
2017-01-04,13:00,8218.50,8180.90,False,False,False,False,8196.20,8194.10
2017-01-05,13:00,8267.00,8223.70,True,False,True,False,8259.20,8271.10
2017-01-06,13:00,8306.85,8259.40,False,True,False,True,8274.80,8249.90
2017-01-09,13:00,8263.00,8227.75,False,False,False,False,8242.20,8234.75
2017-01-10,13:00,8288.10,8261.00,True,False,True,False,8269.10,8289.25
2017-01-11,13:00,8367.05,8322.25,True,False,True,False,8362.75,8373.10
2017-01-12,13:00,8417.20,8382.30,False,False,False,False,8401.75,8409.30
2017-01-13,13:00,8461.05,8373.65,False,True,False,True,8393.05,8397.45
2017-01-16,13:00,8414.95,8374.40,True,False,True,False,8411.15,8415.30
2017-01-17,13:00,8440.90,8378.30,False,False,False,False,8389.40,8390.30
2017-01-18,13:00,8460.30,8403.65,False,True,False,True,8427.30,8415.65
2017-01-19,13:00,8439.90,8404.05,True,False,True,False,8432.30,8433.40
2017-01-20,13:00,8423.65,8384.95,False,True,False,False,8388.25,8349.20
2017-01-23,13:00,8404.15,8327.20,False,False,False,False,8354.60,8398.50
2017-01-24,13:00,8445.30,8398.15,True,False,True,False,8432.85,8478.25
2017-01-25,13:00,8533.10,8493.95,True,False,False,False,8532.10,8598.80
2017-01-27,13:00,8672.70,8606.90,False,False,False,False,8642.05,8643.25
2017-01-30,13:00,8650.15,8617.75,True,False,True,False,8634.40,8636.40
2017-01-31,13:00,8631.75,8555.15,False,True,False,True,8588.40,8558.50
2017-02-01,13:00,8619.30,8537.50,True,False,True,False,8604.00,8714.90
2017-02-02,13:00,8727.00,8685.80,True,False,True,False,8718.55,8719.20
2017-02-03,13:00,8748.25,8707.75,False,False,False,False,8725.50,8739.60
2017-02-06,13:00,8809.15,8779.85,True,True,True,True,8808.15,8797.90
2017-02-07,13:00,8809.30,8770.10,False,True,False,True,8784.00,8773.70
2017-02-08,13:00,8782.85,8761.60,True,True,True,True,8764.45,8773.70
2017-02-09,13:00,8821.40,8724.10,False,False,False,False,8756.45,8785.70
2017-02-10,13:00,8822.10,8781.35,False,True,False,True,8798.95,8795.10
2017-02-13,13:00,8826.90,8754.20,False,False,False,False,8760.75,8802.95
2017-02-14,13:00,8820.45,8772.50,False,False,False,False,8792.60,8786.15
2017-02-15,13:00,8807.90,8717.05,False,True,False,True,8729.35,8729.30
2017-02-16,13:00,8776.75,8719.60,True,False,True,False,8761.00,8776.55
2017-02-17,13:00,8896.45,8804.25,False,False,False,False,8850.45,8819.10
2017-02-20,13:00,8854.35,8809.80,True,False,True,False,8850.65,8882.25
2017-02-21,13:00,8897.15,8861.65,True,True,True,True,8865.95,8905.90
2017-02-22,13:00,8960.75,8917.10,False,True,False,True,8940.40,8927.30
2017-02-23,13:00,8973.20,8935.40,True,True,True,True,8969.30,8946.05
2017-02-27,13:00,8951.80,8913.65,False,True,False,True,8926.30,8896.55
2017-02-28,13:00,8914.75,8879.20,False,True,False,True,8891.00,8878.70
2017-03-01,13:00,8950.25,8898.60,True,False,True,False,8933.95,8939.90
2017-03-02,13:00,8992.50,8956.85,False,True,False,True,8960.30,8894.85
2017-03-03,13:00,8898.50,8860.45,True,True,True,True,8864.90,8902.75
2017-03-06,13:00,8967.80,8914.00,False,False,False,False,8947.20,8961.00
2017-03-07,13:00,8977.85,8932.80,False,False,False,False,8937.45,8946.10
2017-03-08,13:00,8957.05,8891.95,False,False,False,False,8910.10,8928.05
2017-03-09,13:00,8929.80,8899.50,True,False,True,False,8908.90,8926.55
2017-03-10,13:00,8975.70,8927.85,False,True,False,True,8942.70,8933.10
2017-03-14,13:00,9122.75,9060.50,False,False,False,False,9076.85,9081.95
2017-03-15,13:00,9105.35,9076.25,True,True,True,True,9091.80,9079.20
2017-03-16,13:00,9152.90,9128.55,True,False,True,False,9137.70,9155.10
2017-03-17,13:00,9218.40,9147.60,False,False,False,False,9156.65,9157.50
2017-03-20,13:00,9167.60,9116.30,False,False,False,False,9122.55,9127.80
2017-03-21,13:00,9147.75,9094.40,False,True,False,True,9099.05,9127.30
2017-03-22,13:00,9072.90,9036.05,False,True,False,True,9062.65,9027.55
2017-03-23,13:00,9076.35,9048.60,True,False,True,False,9062.95,9080.65
2017-03-24,13:00,9131.95,9089.40,True,False,True,False,9113.85,9100.15
2017-03-27,13:00,9094.85,9024.65,False,False,False,False,9038.60,9047.80
2017-03-28,13:00,9109.75,9080.80,True,True,True,True,9103.20,9109.00
2017-03-29,13:00,9136.10,9109.10,True,False,True,False,9128.00,9149.25
2017-03-30,13:00,9169.65,9136.35,True,False,True,False,9152.30,9156.05
2017-03-31,13:00,9181.25,9152.10,True,False,True,False,9159.80,9172.95
2017-04-03,13:00,9220.65,9192.40,True,False,True,False,9216.55,9243.40
2017-04-05,13:00,9264.95,9215.40,True,False,True,False,9248.45,9260.05
2017-04-06,13:00,9245.65,9220.00,True,True,True,True,9225.40,9256.15
2017-04-07,13:00,9249.20,9212.60,True,True,True,True,9238.75,9198.10
2017-04-10,13:00,9225.65,9183.80,False,True,False,True,9186.60,9177.65
2017-04-11,13:00,9237.60,9172.85,True,False,True,False,9228.10,9234.05
2017-04-12,13:00,9246.40,9161.80,False,False,False,False,9221.75,9200.10
2017-04-13,13:00,9202.65,9163.55,False,True,False,True,9174.15,9149.20
2017-04-17,13:00,9160.00,9120.25,False,False,False,False,9140.50,9139.35
2017-04-18,13:00,9217.90,9159.70,False,True,False,True,9189.65,9100.55
2017-04-19,13:00,9120.50,9079.50,False,True,False,True,9096.55,9115.45
2017-04-20,13:00,9143.90,9102.65,False,False,False,False,9128.20,9135.00
2017-04-21,13:00,9183.65,9109.20,False,True,False,True,9117.85,9120.40
2017-04-24,13:00,9200.90,9130.55,True,False,True,False,9192.75,9217.70
2017-04-25,13:00,9286.75,9250.35,True,False,True,False,9285.55,9302.85
2017-04-26,13:00,9363.75,9301.35,True,False,True,False,9341.70,9347.25
2017-04-27,13:00,9363.40,9329.25,True,True,True,True,9339.35,9326.65
2017-04-28,13:00,9342.65,9282.25,False,False,False,False,9300.00,9307.05
2017-05-02,13:00,9352.55,9269.90,False,False,False,False,9309.80,9317.85
2017-05-03,13:00,9346.30,9298.40,False,False,False,False,9306.90,9307.45
2017-05-04,13:00,9361.40,9323.25,True,False,True,False,9336.95,9358.60
2017-05-05,13:00,9377.10,9282.55,False,True,False,True,9298.60,9275.55
2017-05-08,13:00,9338.70,9297.95,False,False,False,False,9316.60,9311.30
2017-05-09,13:00,9338.95,9307.70,False,False,False,False,9325.35,9316.85
2017-05-10,13:00,9392.50,9336.00,True,False,True,False,9382.15,9409.05
2017-05-11,13:00,9450.65,9426.65,False,True,False,True,9442.15,9415.70
2017-05-12,13:00,9437.75,9377.00,False,True,False,True,9381.25,9407.30
2017-05-15,13:00,9448.10,9423.10,True,False,True,False,9430.20,9445.55
2017-05-16,13:00,9492.60,9456.35,True,False,True,False,9477.15,9511.55
2017-05-17,13:00,9521.00,9486.10,True,False,True,False,9500.20,9519.40
2017-05-18,13:00,9489.10,9445.25,False,True,False,True,9475.40,9421.45
2017-05-19,13:00,9505.75,9390.75,False,False,False,False,9422.75,9431.55
2017-05-22,13:00,9498.65,9437.95,False,True,False,True,9442.55,9438.55
2017-05-23,13:00,9448.05,9374.20,False,True,False,True,9403.70,9384.00
2017-05-24,13:00,9431.90,9380.10,False,True,False,True,9383.25,9369.30
