Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2020-01-01,13:00,32348.00,32057.20,False,False,False,False,32108.45,32126.30
2020-01-02,13:00,32296.15,32121.40,True,False,True,False,32234.25,32436.35
2020-01-03,13:00,32329.80,32034.00,False,True,False,True,32064.75,32090.40
2020-01-06,13:00,31914.45,31319.20,False,True,False,True,31338.35,31244.85
2020-01-07,13:00,31851.45,31382.05,False,True,False,True,31400.55,31414.75
2020-01-08,13:00,31354.85,30899.55,True,False,True,False,31224.70,31350.20
2020-01-09,13:00,32082.50,31667.15,True,False,True,False,32074.55,32063.15
2020-01-10,13:00,32347.20,32050.65,False,True,False,True,32243.35,32082.15
2020-01-13,13:00,32322.65,32074.05,False,False,False,False,32237.30,32192.45
2020-01-14,13:00,32172.70,31989.20,False,False,False,False,32098.85,32054.55
2020-01-15,13:00,32000.90,31692.70,False,True,False,True,31717.15,31830.35
2020-01-16,13:00,31988.90,31692.40,False,False,False,False,31800.10,31857.20
2020-01-17,13:00,31773.55,31445.50,False,False,False,False,31654.05,31556.85
2020-01-20,13:00,31819.20,31251.85,False,True,False,True,31265.50,31095.85
2020-01-21,13:00,31171.25,30858.60,False,False,False,False,30972.05,30952.65
2020-01-22,13:00,31149.05,30685.30,False,True,False,True,30754.20,30710.35
2020-01-23,13:00,31005.35,30621.35,True,False,True,False,30974.90,30996.25
2020-01-24,13:00,31299.90,30879.05,True,False,True,False,31250.90,31245.10
2020-01-27,13:00,31227.05,30922.85,False,True,False,True,31066.90,30811.90
2020-01-28,13:00,31045.75,30759.80,True,True,True,True,30956.95,30778.65
2020-01-29,13:00,31082.85,30864.85,False,True,False,True,31005.70,30881.15
2020-01-30,13:00,30909.50,30559.70,False,True,False,True,30576.90,30603.70
2020-01-31,13:00,30983.30,30691.80,True,False,True,False,30793.25,30827.50
2020-02-01,13:00,30918.60,30424.60,False,True,False,True,30594.30,29794.70
2020-02-03,13:00,30089.20,29612.55,True,False,True,False,29966.25,30035.95
2020-02-04,13:00,30776.95,30182.45,False,False,False,False,30621.15,30662.60
2020-02-05,13:00,30945.50,30630.85,True,False,True,False,30777.95,31026.45
2020-02-06,13:00,31355.45,30917.25,True,False,True,False,31347.45,31279.05
2020-02-07,13:00,31368.20,31111.05,False,False,False,False,31237.10,31182.35
2020-02-10,13:00,31248.80,30957.20,False,False,False,False,31098.10,31071.55
2020-02-11,13:00,31505.95,31225.90,False,False,False,False,31338.00,31304.90
2020-02-12,13:00,31588.60,31398.15,False,False,False,False,31495.50,31474.00
2020-02-13,13:00,31649.45,31206.90,False,True,False,True,31244.70,31201.15
2020-02-14,13:00,31436.65,30776.10,False,False,False,False,30969.20,30839.30
2020-02-17,13:00,30998.15,30644.40,False,True,False,True,30730.30,30704.85
2020-02-18,13:00,30692.75,30256.50,False,True,False,True,30355.00,30628.20
2020-02-19,13:00,30947.15,30606.15,False,False,False,False,30818.50,30829.05
2020-02-20,13:00,31085.30,30702.45,False,False,False,False,31038.10,30927.65
2020-02-24,13:00,30702.15,30466.40,False,True,False,True,30649.50,30477.25
2020-02-25,13:00,30610.70,30335.60,False,True,False,True,30455.65,30459.10
2020-02-26,13:00,30347.65,30177.55,True,True,True,True,30286.70,30343.05
2020-02-27,13:00,30271.95,29914.15,False,False,False,False,30046.80,30161.30
2020-02-28,13:00,29564.10,29161.00,False,True,False,True,29400.75,29199.60
2020-03-02,13:00,29791.15,29322.25,False,True,False,True,29427.20,28870.05
2020-03-03,13:00,29285.35,28749.55,False,False,False,False,29067.85,29228.35
2020-03-04,13:00,29273.65,28522.15,False,True,False,True,28593.70,28648.60
2020-03-05,13:00,29134.30,28535.60,False,False,False,False,28984.40,28781.65
2020-03-06,13:00,27813.50,27162.30,True,False,True,False,27703.50,27778.80
2020-03-09,13:00,27091.60,26032.00,False,True,False,True,26323.35,26475.80
2020-03-11,13:00,26791.45,26234.10,False,False,False,False,26626.50,26438.10
2020-03-12,13:00,25223.10,24013.45,False,True,False,True,24518.50,24200.00
2020-03-13,13:00,25022.50,21351.70,True,False,True,False,24890.50,25344.80
2020-03-16,13:00,24074.15,23308.65,False,True,False,True,23624.75,23079.25
2020-03-17,13:00,23449.50,22389.85,False,True,False,True,23028.00,22106.70
2020-03-18,13:00,22544.05,20289.50,False,True,False,True,20331.75,20846.60
2020-03-19,13:00,20438.15,18675.65,True,False,True,False,20132.35,20022.65
2020-03-20,13:00,20636.15,19265.00,True,False,True,False,20620.65,20237.40
2020-03-23,13:00,18895.65,17224.70,False,True,False,True,17514.75,16978.05
2020-03-24,13:00,17841.40,16116.25,False,False,False,False,17273.15,17218.90
2020-03-25,13:00,17997.30,16635.50,True,False,True,False,17985.50,18492.55
2020-03-26,13:00,20409.35,18364.50,False,False,False,False,20306.40,19670.65
2020-03-27,13:00,21462.40,19717.10,False,True,False,True,20071.40,19915.15
2020-03-30,13:00,19716.25,19057.15,False,True,False,True,19207.05,18777.85
2020-03-31,13:00,19314.55,18792.40,True,False,True,False,19212.95,19049.65
2020-04-01,13:00,19154.75,18144.00,False,True,False,True,18209.55,18188.05
2020-04-03,13:00,18326.10,17457.85,False,True,False,True,17525.60,17297.00
2020-04-07,13:00,18739.00,17953.75,True,False,True,False,18572.55,19055.10
2020-04-08,13:00,20324.10,18482.90,False,False,False,False,18999.25,18928.45
2020-04-09,13:00,19814.40,19166.90,True,False,True,False,19621.00,19879.75
2020-04-13,13:00,19887.05,19294.00,False,False,False,False,19605.80,19523.45
2020-04-15,13:00,20184.10,19714.50,False,True,False,True,19812.80,19106.60
2020-04-16,13:00,19400.50,18703.45,True,False,True,False,19174.75,19489.90
2020-04-17,13:00,20447.55,19729.30,True,False,True,False,19931.20,20727.45
