Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2012-01-02,13:00,8028.45,7888.25,False,False,False,False,7939.25,7995.20
2012-01-03,13:00,8259.75,8075.10,True,False,True,False,8247.65,8332.00
2012-01-04,13:00,8419.95,8294.35,True,False,True,False,8353.25,8394.70
2012-01-05,13:00,8508.85,8398.10,True,True,True,True,8498.95,8452.60
2012-01-06,13:00,8416.60,8297.55,True,False,True,False,8349.75,8498.95
2012-01-07,13:00,8480.40,8436.45,False,False,False,False,8452.80,8452.80
2012-01-09,13:00,8462.30,8329.90,True,False,True,False,8446.45,8481.50
2012-01-10,13:00,8694.50,8540.45,True,False,True,False,8684.30,8741.80
2012-01-11,13:00,8835.45,8736.25,True,False,True,False,8784.85,8857.20
2012-01-12,13:00,9015.25,8848.00,False,False,False,False,8879.55,8951.65
2012-01-13,13:00,9027.15,8913.95,True,False,True,False,9024.95,8995.00
2012-01-16,13:00,8917.35,8813.85,True,False,True,False,8860.05,8964.05
2012-01-17,13:00,9104.05,9011.80,True,False,True,False,9083.40,9054.05
2012-01-18,13:00,9065.30,8924.25,False,True,False,True,8956.30,9019.80
2012-01-19,13:00,9192.55,9128.10,True,False,True,False,9171.25,9193.25
2012-01-20,13:00,9438.60,9268.50,True,False,True,False,9435.00,9516.90
2012-01-23,13:00,9659.00,9503.35,False,True,False,True,9528.70,9511.65
2012-01-24,13:00,9872.50,9456.25,True,False,True,False,9814.65,9800.40
2012-01-25,13:00,9905.50,9762.50,False,False,False,False,9867.30,9826.70
2012-01-27,13:00,9944.35,9701.50,False,False,False,False,9764.95,9815.55
2012-01-30,13:00,9723.15,9595.95,False,True,False,True,9596.90,9526.50
2012-01-31,13:00,9767.95,9654.00,True,False,True,False,9749.90,9930.80
2012-02-01,13:00,9938.25,9762.00,True,False,True,False,9804.60,9962.65
2012-02-02,13:00,10090.20,9776.55,False,False,False,False,9975.10,9980.15
2012-02-03,13:00,9991.40,9928.45,True,False,True,False,9969.25,10124.95
2012-02-06,13:00,10331.25,10218.20,False,True,False,True,10260.40,10280.30
2012-02-07,13:00,10429.70,10260.15,False,False,False,False,10353.90,10330.15
2012-02-08,13:00,10380.55,10208.45,True,False,True,False,10348.65,10320.80
2012-02-09,13:00,10400.30,10268.75,True,False,True,False,10392.65,10529.60
2012-02-10,13:00,10555.00,10413.20,False,True,False,True,10443.70,10413.65
2012-02-13,13:00,10490.80,10335.70,True,False,True,False,10423.95,10455.75
2012-02-14,13:00,10606.85,10449.10,False,False,False,False,10557.75,10569.90
2012-02-15,13:00,10833.65,10633.15,True,False,True,False,10821.60,10933.30
2012-02-16,13:00,10900.50,10780.05,True,False,True,False,10818.45,10913.65
2012-02-17,13:00,11203.35,11045.70,False,True,False,True,11104.95,11109.65
2012-02-21,13:00,11207.05,11061.35,False,False,False,False,11161.95,11158.15
2012-02-22,13:00,11226.75,10939.45,False,True,False,True,11016.10,10744.65
2012-02-23,13:00,10852.65,10621.80,False,False,False,False,10666.60,10701.00
2012-02-24,13:00,10759.05,10473.65,False,True,False,True,10502.65,10511.50
2012-02-27,13:00,10523.85,10199.85,False,True,False,True,10246.90,10084.60
2012-02-28,13:00,10478.85,10178.85,True,False,True,False,10432.30,10474.95
2012-02-29,13:00,10667.30,10387.75,False,True,False,True,10461.20,10430.75
2012-03-01,13:00,10382.75,10184.15,False,True,False,True,10252.45,10253.10
