Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2017-01-02,13:00,18249.00,17844.90,False,False,False,False,17916.40,17972.40
2017-01-03,13:00,18115.10,17830.90,False,False,False,False,18067.10,18042.80
2017-01-04,13:00,18092.80,17936.10,False,True,False,True,17960.80,17905.90
2017-01-05,13:00,18106.30,17977.80,True,False,True,False,18099.60,18099.30
2017-01-06,13:00,18325.50,18157.30,False,False,False,False,18283.30,18267.10
2017-01-09,13:00,18373.10,18256.20,False,False,False,False,18309.10,18277.20
2017-01-10,13:00,18412.80,18275.80,True,False,True,False,18341.80,18432.00
2017-01-11,13:00,18792.20,18515.30,True,False,True,False,18780.80,18813.70
2017-01-12,13:00,18966.30,18805.80,False,False,False,False,18891.30,18872.90
2017-01-13,13:00,18952.30,18781.30,False,False,False,False,18885.10,18918.30
2017-01-16,13:00,19048.50,18865.30,True,False,True,False,19038.70,19105.10
2017-01-17,13:00,19202.30,18981.80,False,False,False,False,19023.80,19041.70
2017-01-18,13:00,19276.50,19072.10,False,False,False,False,19204.20,19162.40
2017-01-19,13:00,19185.30,19046.10,False,False,False,False,19159.70,19123.10
2017-01-20,13:00,19071.70,18915.40,False,True,False,True,18983.20,18818.40
2017-01-23,13:00,18909.70,18722.80,False,False,False,False,18754.10,18883.10
2017-01-24,13:00,19002.40,18906.90,True,False,True,False,18938.90,19043.10
2017-01-25,13:00,19215.40,19114.20,True,False,False,False,19212.10,19488.00
2017-01-27,13:00,19731.70,19534.90,True,False,True,False,19682.10,19715.40
2017-01-30,13:00,19767.10,19603.50,False,True,False,True,19634.60,19583.40
2017-01-31,13:00,19604.30,19435.40,True,False,True,False,19598.90,19514.80
2017-02-01,13:00,19745.10,19470.90,True,False,True,False,19695.90,20029.70
2017-02-02,13:00,20071.10,19915.20,True,False,True,False,20022.50,20020.50
2017-02-03,13:00,20178.00,20009.90,True,False,True,False,20171.40,20173.30
2017-02-06,13:00,20462.40,20298.10,False,False,False,False,20422.60,20374.20
